Дата_день,Количество_размещенные,Количество_выкупленные
2017-10-04,1193,495
2017-10-05,1515,640
2017-10-06,1202,526
2017-10-07,802,285
2017-10-08,1413,706
2017-10-09,2464,929
2017-10-10,2203,864
2017-10-11,3539,1335
2017-10-12,1989,614
2017-10-13,1211,390
2017-10-14,1024,294
2017-10-15,1493,634
2017-10-16,1360,478
2017-10-17,1982,934
2017-10-18,2155,1032
2017-10-19,1719,866
2017-10-20,961,387
2017-10-21,717,307
2017-10-22,1100,426
2017-10-23,1190,425
2017-10-24,1370,588
2017-10-25,1058,515
2017-10-26,1575,685
2017-10-27,1161,508
2017-10-28,705,304
2017-10-29,1374,538
2017-10-30,1393,599
2017-10-31,1474,603
2017-11-01,1340,491
2017-11-02,1184,586
2017-11-03,1113,546
2017-11-04,866,355
2017-11-05,1089,441
2017-11-06,1090,534
2017-11-07,1953,1034
2017-11-08,2226,1047
2017-11-09,1637,800
2017-11-10,889,396
2017-11-11,683,311
2017-11-12,1118,520
2017-11-13,1193,559
2017-11-14,1134,544
2017-11-15,1384,628
2017-11-16,1110,397
2017-11-17,886,339
2017-11-18,719,341
2017-11-19,987,489
2017-11-20,1036,410
2017-11-21,2619,1385
2017-11-22,2492,1413
2017-11-23,2303,1175
2017-11-24,2538,1325
2017-11-25,1468,891
2017-11-26,2297,1137
2017-11-27,1209,478
2017-11-28,1735,849
2017-11-29,2106,1128
2017-11-30,1445,727
2017-12-01,1103,539
2017-12-02,565,307
2017-12-03,768,383
2017-12-04,1104,452
2017-12-05,1060,417
2017-12-06,1130,526
2017-12-07,1172,463
2017-12-08,1011,478
2017-12-09,804,378
2017-12-10,1115,529
2017-12-11,1161,549
2017-12-12,1794,795
2017-12-13,1478,643
2017-12-14,1916,809
2017-12-15,986,415
2017-12-16,619,234
2017-12-17,1149,438
2017-12-18,1807,733
2017-12-19,1615,647
2017-12-20,1484,671
2017-12-21,1333,530
2017-12-22,962,370
2017-12-23,615,223
2017-12-24,944,413
2017-12-25,1042,415
2017-12-26,861,332
2017-12-27,669,354
2017-12-28,451,181
2017-12-29,385,182
2017-12-30,276,149
2017-12-31,225,101
2018-01-01,0,0
2018-01-02,0,0
2018-01-03,2,0
2018-01-04,0,0
2018-01-05,0,0
2018-01-06,2,0
2018-01-07,2,1
2018-01-08,18,11
2018-01-09,175,132
2018-01-10,206,158
2018-01-11,179,127
2018-01-12,393,239
2018-01-13,588,325
2018-01-14,1083,510
2018-01-15,1627,797
2018-01-16,1602,801
2018-01-17,1676,872
2018-01-18,1478,730
2018-01-19,954,418
2018-01-20,932,441
2018-01-21,712,259
2018-01-22,625,242
2018-01-23,1458,484
2018-01-24,1359,416
2018-01-25,1258,305
2018-01-26,1171,314
2018-01-27,998,182
2018-01-28,1003,149
2018-01-29,1402,177
2018-01-30,1400,40
2018-01-31,1318,0
2018-02-01,769,339
2018-02-02,670,312
2018-02-03,608,293
2018-02-04,748,383
2018-02-05,1824,848
2018-02-06,1561,897
2018-02-07,1390,785
2018-02-08,1321,647
2018-02-09,950,512
2018-02-10,902,481
2018-02-11,1019,437
2018-02-12,982,449
2018-02-13,1286,643
2018-02-14,1035,582
2018-02-15,1248,609
2018-02-16,868,362
2018-02-17,585,232
2018-02-18,778,456
2018-02-19,1029,484
2018-02-20,1102,494
2018-02-21,1256,634
2018-02-22,797,369
2018-02-23,754,340
2018-02-24,804,409
2018-02-25,799,472
2018-02-26,1115,491
2018-02-27,1263,658
2018-02-28,1165,526
